iter	Passed	Remaining
399	48989	8940
400	49107	8817
401	49226	8694
402	49348	8571
403	49470	8449
404	49599	8327
405	49726	8206
406	49855	8084
407	49986	7963
408	50118	7842
409	50244	7720
410	50374	7599
411	50505	7477
412	50639	7356
413	50769	7235
414	50901	7113
415	51036	6993
416	51171	6871
417	51303	6750
418	51439	6629
419	51567	6507
420	51705	6386
421	51837	6264
422	51966	6142
423	52096	6020
424	52226	5898
425	52352	5775
426	52478	5653
427	52611	5531
428	52748	5410
429	52875	5287
430	53004	5165
431	53134	5042
432	53266	4920
433	53392	4797
434	53520	4675
435	53656	4553
436	53785	4430
437	53912	4308
438	54043	4185
439	54175	4063
440	54303	3940
441	54432	3817
442	54560	3694
443	54694	3572
444	54822	3449
445	54951	3326
446	55079	3203
447	55205	3080
448	55334	2957
449	55462	2834
450	55590	2711
451	55726	2589
452	55857	2466
453	55986	2343
454	56130	2220
455	56268	2097
456	56400	1974
457	56535	1851
458	56678	1728
459	56811	1605
460	56947	1482
461	57082	1359
462	57208	1235
463	57342	1112
464	57461	988
465	57596	865
466	57731	741
467	57861	618
468	57996	494
469	58129	371
470	58254	247
471	58375	123
472	58506	0
