iter	MultiClass
0	1.513225899
1	1.34528505
2	1.236605947
3	1.154613473
4	1.082925685
5	1.036877437
6	0.9935341052
7	0.9539136255
8	0.9308198356
9	0.8991425953
10	0.8782702462
11	0.8524032794
12	0.8309570976
13	0.8127851842
14	0.8012846705
15	0.78756888
16	0.774561689
17	0.7626303612
18	0.7518551547
19	0.7399617267
20	0.7310688825
21	0.7237464405
22	0.716864274
23	0.7079657716
24	0.6995212052
25	0.6923459253
26	0.6858973339
27	0.6793242258
28	0.673154823
29	0.6676957155
30	0.6603956744
31	0.6526727225
32	0.6476654794
33	0.6426232394
34	0.6371283522
35	0.6325495079
36	0.6261585361
37	0.6216669875
38	0.6181782756
39	0.6131308592
40	0.6094548186
41	0.6051433661
42	0.6004773288
43	0.5965101702
44	0.5930062483
45	0.5878155797
46	0.5838398962
47	0.5794617306
48	0.5763596293
49	0.5731137293
50	0.5694430257
51	0.5661279161
52	0.5636346218
53	0.5597472064
54	0.557238485
55	0.5534791782
56	0.5491713749
57	0.5454186224
58	0.5423184192
59	0.5392923163
60	0.5367966676
61	0.5337305823
62	0.5298889904
63	0.5258428589
64	0.5228057445
65	0.5194143102
66	0.5167327965
67	0.5139562263
68	0.5111512374
69	0.5083158835
70	0.5053795831
71	0.5025797132
72	0.5004505696
73	0.498079168
74	0.4949812564
75	0.4919263486
76	0.489477378
77	0.4864186033
78	0.4847833193
79	0.4818971974
80	0.4789378451
81	0.4763697747
82	0.4744804134
83	0.4720446783
84	0.4705521758
85	0.4695894908
86	0.4660533119
87	0.4648914077
88	0.4627583242
89	0.4599135443
90	0.45677442
91	0.4537545007
92	0.4515741902
93	0.4497268697
94	0.4476141452
95	0.4459007347
96	0.4440986085
97	0.4428530155
98	0.4408159269
99	0.4390067533
100	0.4372134685
101	0.4355506848
102	0.433624019
103	0.4314896423
104	0.4299076367
105	0.42777313
106	0.42647401
107	0.4250865271
108	0.4237665844
109	0.4219190486
110	0.4197320889
111	0.4176087545
112	0.4161666021
113	0.4146075576
114	0.4129287368
115	0.4108590079
116	0.4095034197
117	0.406963475
118	0.4050415731
119	0.4032944585
120	0.4015514043
121	0.4001136016
122	0.3988466373
123	0.3976341207
124	0.396008124
125	0.3945545643
126	0.3935697992
127	0.3926463243
128	0.3904309382
129	0.3880514053
130	0.3868856082
131	0.3852229771
132	0.3835116475
133	0.3827712067
134	0.3809977188
135	0.3789879557
136	0.3768742837
137	0.3750818828
138	0.3741258021
139	0.3717055085
140	0.3698793872
141	0.3684369691
142	0.3675106214
143	0.3657465331
144	0.3651091737
145	0.3636216109
146	0.3615795744
147	0.3599742174
148	0.3579569213
149	0.35700232
150	0.355908819
151	0.3549463653
152	0.3536234268
153	0.3522865777
154	0.3511923166
155	0.3503291085
156	0.349248542
157	0.3480779773
158	0.3468330909
159	0.3455063306
160	0.3445113343
161	0.3433587941
162	0.342508077
163	0.3413971364
164	0.339488484
165	0.3382145867
166	0.3362274141
167	0.3351469109
168	0.3332861771
169	0.332039121
170	0.3308201404
171	0.3300696382
172	0.3285002554
173	0.3265591722
174	0.3257091969
175	0.3247163605
176	0.3233927987
177	0.3223882431
178	0.3217352308
179	0.3201048637
180	0.3192462014
181	0.3177904871
182	0.3170562046
183	0.3161087535
184	0.3141820233
185	0.313136841
186	0.3121419621
187	0.310793795
188	0.3097635064
189	0.3084238599
190	0.30762491
191	0.3065176401
192	0.3055344752
193	0.3042143444
194	0.3034798451
195	0.3024278613
196	0.3017955176
197	0.3005563088
198	0.2997585424
199	0.2986521126
200	0.2974573407
201	0.2963011546
202	0.2944996262
203	0.2930790115
204	0.2921338831
205	0.2908827852
206	0.2898068416
207	0.2890406187
208	0.287677728
209	0.2869149255
210	0.2859789294
211	0.2846312572
212	0.2836785118
213	0.2826588986
214	0.2816254627
215	0.2808924181
216	0.2798143593
217	0.279115801
218	0.2778422769
219	0.2765251889
220	0.2755293689
221	0.2747262602
222	0.274171459
223	0.2733895988
224	0.2727548838
225	0.2717836891
226	0.2707386215
227	0.270230619
228	0.2690610332
229	0.2679442682
230	0.2672897747
231	0.2665200465
232	0.2655054985
233	0.2642002585
234	0.2637385199
235	0.2623613051
236	0.2616496623
237	0.2608585913
238	0.2599483671
239	0.2588334076
240	0.2574364344
241	0.2567240433
242	0.2559468713
243	0.254962879
244	0.2540473302
245	0.253004185
246	0.2526358929
247	0.2519654276
248	0.2513699519
249	0.2508543732
250	0.2501173084
251	0.2494614468
252	0.2490130069
253	0.248566864
254	0.2478159349
255	0.246693053
256	0.2458368362
257	0.2449120707
258	0.2443653026
259	0.2436893987
260	0.2424479066
261	0.2414403283
262	0.2409261522
263	0.2400818648
264	0.2393570417
265	0.2386192747
266	0.2379122659
267	0.237380919
268	0.2368182348
269	0.2360521117
270	0.2355629524
271	0.235263524
272	0.2341454016
273	0.2333714782
274	0.232805661
275	0.2323254637
276	0.2317639553
277	0.2312070237
278	0.2302321006
279	0.2298317767
280	0.2292640169
281	0.2283745939
282	0.2276249254
283	0.2269520474
284	0.226354422
285	0.2256463285
286	0.2246826408
287	0.2240840904
288	0.223285135
289	0.2226672232
290	0.2218222136
291	0.2211886226
292	0.2205365035
293	0.219196887
294	0.2186416762
295	0.218101089
296	0.2175656422
297	0.2166600897
298	0.2162746118
299	0.2156344564
300	0.2145444324
301	0.2137464799
302	0.2130409347
303	0.2121735322
304	0.2110312668
305	0.2104391414
306	0.2101573823
307	0.2097847782
308	0.2094117176
309	0.2088751969
310	0.2082844073
311	0.2074659341
312	0.2067442878
313	0.2060001247
314	0.2055492189
315	0.2045612942
316	0.2041833059
317	0.2035199772
318	0.2028257932
319	0.2021394333
320	0.2015400189
321	0.2009759992
322	0.2004961191
323	0.199437269
324	0.1989256519
325	0.1985329389
326	0.1982265249
327	0.1977544415
328	0.1971415426
329	0.1963445336
330	0.195892444
331	0.195490904
332	0.1951056544
333	0.1943188318
334	0.1937715708
335	0.193126782
336	0.192436518
337	0.1917685962
338	0.1913110922
339	0.1905797639
340	0.1900280423
341	0.1894454738
342	0.1889144509
343	0.1885030413
344	0.1877643375
345	0.1872216345
346	0.1866187648
347	0.1861278952
348	0.185700393
349	0.1850214048
350	0.1845268639
351	0.1840785756
352	0.1835692272
353	0.1830231868
354	0.1826603416
355	0.1819547137
356	0.1815074562
357	0.1809472054
358	0.1800406877
359	0.1796080838
360	0.1791041243
361	0.1784511052
362	0.1780860554
363	0.1776579008
364	0.1771515764
365	0.176663899
366	0.1756591633
367	0.1751461553
368	0.1744637255
369	0.1740466098
370	0.1735775279
371	0.1730835224
372	0.1725457155
373	0.1720376642
374	0.1715383901
375	0.1707660591
376	0.1705165366
377	0.1699202544
378	0.169522232
379	0.1689552452
380	0.1686548928
381	0.1682473943
382	0.1677254591
383	0.167252127
384	0.1670638361
385	0.166500327
386	0.1654908899
387	0.165082285
388	0.1646337316
389	0.1642535223
390	0.1638130666
391	0.1634192578
392	0.1628283872
393	0.1625511084
394	0.162319495
395	0.1616321143
396	0.1613043777
397	0.1610405908
398	0.1604947788
399	0.1601533003
400	0.1597582083
401	0.1594564397
402	0.1590100759
403	0.1586544657
404	0.1582784857
405	0.1579127182
406	0.1572148945
407	0.1568268822
408	0.1562316901
409	0.1559499973
410	0.1555565174
411	0.1551302463
412	0.1546370851
413	0.153962538
414	0.1531950587
415	0.152668033
416	0.1520519625
417	0.1517503868
418	0.1513638565
419	0.1511316432
420	0.1506755004
421	0.1502422115
422	0.1496781501
423	0.1491249234
424	0.1487512708
425	0.1484947182
426	0.1482981307
427	0.147832931
428	0.1470913939
429	0.1467892587
430	0.1464431686
431	0.1460372597
432	0.1457279927
433	0.1454066374
434	0.1449648826
435	0.1444971384
436	0.1441119754
437	0.1437338906
438	0.143152716
439	0.1427074389
440	0.1423767379
441	0.1418166636
442	0.1414905793
443	0.1410254334
444	0.1406912862
445	0.1403955418
446	0.1400545728
447	0.139840535
448	0.1393961995
449	0.1389802785
450	0.1387549398
451	0.1382422907
452	0.1377079867
453	0.137418171
454	0.1368301738
455	0.1362441349
456	0.1357612032
457	0.1354502652
458	0.1349704984
459	0.134609512
460	0.1342015144
461	0.1340118983
462	0.1337065061
463	0.1334025181
464	0.1328480786
465	0.1325683075
466	0.1321737737
467	0.13162487
468	0.1311774705
469	0.13077667
470	0.130598376
471	0.1302713423
472	0.1299918461
